location_id,destination,date,month,max_temp_f,min_temp_f,precipitation_in,avg_humidity_pct,avg_temp_f,rain_in,rainy_day,max_wind_speed_mph,max_wind_gust_mph
0,Bangkok,2025-03-10,March,98.1,78.6,0,50,89.9,0,No,7,21
0,Bangkok,2025-03-11,March,98.7,81.1,0.091,64,88,0.091,Yes,6.8,19.2
0,Bangkok,2025-03-12,March,95.5,81.8,0.02,66,87.7,0.02,Yes,7.3,21.3
0,Bangkok,2025-03-13,March,94.5,80.7,0.287,72,85.5,0.287,Yes,7.7,21.9
0,Bangkok,2025-03-14,March,95.3,81.1,0.024,68,87,0.024,Yes,6.9,21
0,Bangkok,2025-03-15,March,95.7,81.6,0.004,68,87.9,0.004,Yes,6,17.7
0,Bangkok,2025-03-16,March,98.1,82,0.012,69,88,0.012,Yes,5.8,19
0,Bangkok,2025-03-17,March,94.6,79.3,0.169,74,85.1,0.169,Yes,7,21
0,Bangkok,2025-03-18,March,94.6,78.9,0.055,63,87.2,0.055,Yes,6.7,22.1
0,Bangkok,2025-03-19,March,94.5,74.4,0,48,84.7,0,No,9.3,25.9
0,Bangkok,2025-03-20,March,92.8,72.8,0,47,82.9,0,No,5.9,16.8
0,Bangkok,2025-03-21,March,92.5,73.1,0,46,83.9,0,No,5.9,18.3
0,Bangkok,2025-03-22,March,97.1,76.1,0,49,86.9,0,No,5.3,18.1
0,Bangkok,2025-03-23,March,100.1,78.1,0,50,88.7,0,No,8.9,23.5
0,Bangkok,2025-03-24,March,98.7,79.9,0.031,62,88.1,0.031,Yes,6.7,21
0,Bangkok,2025-03-25,March,98.1,81.4,0,68,88.1,0,No,7.9,21.3
0,Bangkok,2025-03-26,March,97.5,82.7,0.114,71,87.8,0.114,Yes,7.6,20.6
0,Bangkok,2025-03-27,March,96.8,81.4,0.028,68,87.8,0.028,Yes,7.5,20.1
0,Bangkok,2025-03-28,March,101.4,81.6,0,54,89.2,0,No,8.4,22.6
0,Bangkok,2025-03-29,March,98.2,82.9,0.012,62,89.3,0.012,Yes,8,23.3
0,Bangkok,2025-03-30,March,94.4,75.5,0.626,76,84,0.626,Yes,7.3,20.1
0,Bangkok,2025-03-31,March,88.6,74.7,0.665,85,80.8,0.665,Yes,7,20.4
0,Bangkok,2025-04-01,April,89.8,77.2,0.055,81,83.1,0.055,Yes,4.4,15
0,Bangkok,2025-04-02,April,91.5,78.5,0.091,77,83.8,0.091,Yes,6.8,18.6
0,Bangkok,2025-04-03,April,94.6,79.3,0.008,73,85.2,0.008,Yes,7,17.9
0,Bangkok,2025-04-04,April,92.4,79.9,0.024,70,86.1,0.024,Yes,7.6,20.6
0,Bangkok,2025-04-05,April,93.4,81.1,0.016,70,86.3,0.016,Yes,8.7,24.4
0,Bangkok,2025-04-06,April,95.7,82,0,66,87.5,0,No,7.8,23.3
0,Bangkok,2025-04-07,April,93.5,79.3,0.079,77,84.4,0.079,Yes,8,22.8
0,Bangkok,2025-04-08,April,93.1,80,0.079,77,85.2,0.079,Yes,7.9,22.1
0,Bangkok,2025-04-09,April,92.2,76.6,0.024,75,85,0.024,Yes,7.3,20.6
0,Bangkok,2025-04-10,April,88.3,77.3,0.122,82,83,0.122,Yes,6.4,16.3
0,Bangkok,2025-04-11,April,91.9,77.6,0.224,79,84.1,0.224,Yes,7.6,19
0,Bangkok,2025-04-12,April,94.3,78.6,0.031,66,87.2,0.031,Yes,8.1,23
